,Year,Building,Bunker Fuels,Energy,Fugitive Emissions,Industrial Processes,Land-Use Change and Forestry,Manufacturing/Construction,Other Fuel Combustion,Transportation
0,1990,2335.46,486.39,25532.47,151.18,361.21999999999997,533.38,3460.37,616.23,3574.7200000000003
1,1991,2368.2500000000005,501.48999999999995,25864.67,169.04,381.3,533.38,3408.2,629.47,3616.0400000000004
2,1992,2285.2999999999997,522.09,26048.75,209.78,447.53,533.47,3318.0099999999998,562.0600000000001,3675.39
3,1993,2342.7100000000005,511.66999999999996,26218.170000000002,219.53,468.32000000000005,533.47,3292.9000000000005,583.7,3710.05
4,1994,2262.37,530.25,26394.04,230.07,502.0,533.2299999999998,3325.15,563.34,3775.52
5,1995,2330.6600000000003,547.8399999999999,27057.08,240.24,533.15,535.3799999999999,3546.2899999999995,518.66,3864.2599999999998
6,1996,2387.7,561.3100000000001,27739.42,252.54999999999998,543.01,382.80999999999995,3431.7200000000003,451.54,4020.4600000000005
7,1997,2366.2299999999996,575.86,28271.28,245.5,563.64,1073.0500000000002,3443.29,499.88000000000005,4061.8900000000003
8,1998,2222.1200000000003,588.53,28638.960000000003,234.62999999999997,559.99,512.3299999999998,3447.1299999999997,476.15000000000003,4144.05
9,1999,2288.4200000000005,613.3100000000001,28814.66,222.4,589.33,416.1700000000001,3294.5099999999998,480.81999999999994,4253.56
10,2000,2286.75,630.05,29778.809999999998,241.63000000000002,616.89,362.0300000000002,3441.3300000000004,422.05,4397.950000000001
11,2001,2308.78,595.39,30311.799999999996,235.39000000000004,645.8299999999999,16.689999999999806,3474.06,431.0,4445.67
12,2002,2305.6400000000003,623.57,30728.35,225.96,680.5999999999999,388.4999999999999,3462.03,434.68,4539.7
13,2003,2376.84,624.01,32252.0,257.36,736.73,118.99000000000002,3635.1700000000005,448.99000000000007,4647.24
14,2004,2409.87,676.44,33625.34,241.54000000000002,788.5300000000001,389.0200000000001,4051.49,482.45,4819.18
15,2005,2402.63,715.28,34849.34,259.2699999999999,832.1,187.13999999999987,4460.139999999999,502.71,4893.48
16,2006,2370.3100000000004,747.41,35971.06,241.95,913.96,481.48000000000013,4674.250000000001,511.73999999999995,4974.7
17,2007,2369.13,779.85,37413.399999999994,232.67000000000002,978.9200000000001,56.909999999999755,4936.83,511.15,5098.41
18,2008,2415.1600000000003,775.6400000000001,37609.9,216.73,987.3599999999999,50.71999999999993,5083.11,514.1500000000001,5079.37
19,2009,2364.62,717.24,37094.11,221.28,1019.9100000000001,352.4699999999999,5094.92,511.97999999999996,4975.8099999999995
20,2010,2409.29,755.15,39478.850000000006,199.86999999999998,1087.6999999999998,61.869999999999905,5610.680000000001,529.1100000000001,5166.280000000001
21,2011,2357.0099999999998,771.55,40905.86,207.24,1175.75,-1243.8400000000001,5838.86,514.41,5256.679999999999
22,2012,2298.41,732.75,41542.99,198.26,1203.04,-1233.67,5852.0599999999995,539.56,5336.14
23,2013,2420.7099999999996,733.0,42413.28,193.76,1253.7800000000002,-1253.9099999999999,5888.3,550.2599999999999,5501.78
24,2014,2380.1,769.7199999999999,42289.58,202.48000000000002,1301.93,-986.3,5917.920000000001,545.0899999999999,5569.889999999999
25,2015,2399.0299999999997,800.07,41748.71,202.89,1241.67,-963.76,5816.36,542.69,5712.39
26,2016,2429.5600000000004,818.1600000000001,41583.270000000004,203.64,1272.52,-546.46,5653.32,534.69,5773.27
27,2017,2476.9499999999994,844.9,42204.95,188.55,1280.97,-577.4800000000001,5540.61,531.7800000000001,5883.280000000001
28,2018,2521.6800000000003,860.66,43280.54,199.42999999999998,1334.23,-433.39,5612.75,517.11,5978.05
29,2019,2474.56,858.61,43136.98,208.06,1379.0199999999998,-263.21000000000004,5663.300000000001,491.43000000000006,5981.719999999999
